"","SiteStationYear","year","stationNumber","NEWloc","exp","siteNumber","meanshootlg","SLnbPIED","nbframe","BUBsum","BUBnbPIED","dens","propBUB","vac01","Count","SL01","BUBprop","BUBsum01","region","yearc"
"1284","FLB_1_2014",2014,1,"FL","B","FLB",6.36363636363636,11,18,1,11,0.0555555555555556,0.0909090909090909,1,2,1,0.0909090909090909,1,"Trondelag",2014
"1285","FLB_1_2016",2016,1,"FL","B","FLB",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,"Trondelag",2016
"1286","FLB_1_2019",2019,1,"FL","B","FLB",15.5,12,4,0,12,0.25,0,1,46,1,0,0,"Trondelag",2019
"1287","FLB_1_2021",2021,1,"FL","B","FLB",12.0909090909091,11,3,0,11,0.333333333333333,0,1,48,1,0,0,"Trondelag",2021
"1288","FLB_1_2023",2023,1,"FL","B","FLB",18,13,3,0,13,0.333333333333333,0,1,20,1,0,0,"Trondelag",2023
"1289","FLB_10_2008",2008,10,"FL","B","FLB",5.4,10,21,0,10,0.0476190476190476,0,0,0,1,0,0,"Trondelag",2008
"1290","FLB_10_2010",2010,10,"FL","B","FLB",10.1,10,27,2,10,0.037037037037037,0.2,0,0,1,0.2,1,"Trondelag",2010
"1291","FLB_10_2012",2012,10,"FL","B","FLB",9.2,10,10,0,10,0.1,0,0,0,1,0,0,"Trondelag",2012
"1292","FLB_10_2014",2014,10,"FL","B","FLB",10.25,4,23,0,4,0.0434782608695652,0,0,0,1,0,0,"Trondelag",2014
"1293","FLB_10_2016",2016,10,"FL","B","FLB",NA,NA,125,NA,NA,0,NA,0,0,0,NA,NA,"Trondelag",2016
"1294","FLB_10_2019",2019,10,"FL","B","FLB",12.75,12,90,0,12,0.0111111111111111,0,1,3,1,0,0,"Trondelag",2019
"1295","FLB_10_2021",2021,10,"FL","B","FLB",14.3333333333333,6,20,5,6,0.05,0.833333333333333,1,1,1,0.833333333333333,1,"Trondelag",2021
"1296","FLB_10_2023",2023,10,"FL","B","FLB",14.4,10,25,0,10,0.04,0,1,6,1,0,0,"Trondelag",2023
"1297","FLB_2_2008",2008,2,"FL","B","FLB",6.8,10,77,5,10,0.012987012987013,0.5,0,0,1,0.5,1,"Trondelag",2008
"1298","FLB_2_2010",2010,2,"FL","B","FLB",6.4,10,26,4,10,0.0384615384615385,0.4,0,0,1,0.4,1,"Trondelag",2010
"1299","FLB_2_2012",2012,2,"FL","B","FLB",8.8,10,36,0,10,0.0277777777777778,0,0,0,1,0,0,"Trondelag",2012
"1300","FLB_2_2014",2014,2,"FL","B","FLB",NA,NA,125,NA,NA,0,NA,0,0,0,NA,NA,"Trondelag",2014
"1301","FLB_2_2016",2016,2,"FL","B","FLB",NA,NA,125,NA,NA,0,NA,0,0,0,NA,NA,"Trondelag",2016
"1302","FLB_2_2019",2019,2,"FL","B","FLB",NA,NA,125,NA,NA,0,NA,0,0,0,NA,NA,"Trondelag",2019
"1303","FLB_2_2021",2021,2,"FL","B","FLB",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,"Trondelag",2021
"1304","FLB_2_2023",2023,2,"FL","B","FLB",NA,NA,125,NA,NA,0,NA,0,0,0,NA,NA,"Trondelag",2023
